,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
82,310.9,104.37,41.43,2.35,30.24,3.23,24.14,247.78,119.69,Unknown,BAUMGARTNER 1-23 #1,3.1838702156693857,3.7240052560893107
83,311.4,97.0,42.7,2.32,31.26,3.28,23.42,247.94,118.77,Unknown,BAUMGARTNER 1-23 #1,3.1535903581695712,3.754198920234579
84,311.9,85.58,44.05,2.27,30.86,3.29,22.7,247.72,115.58,Unknown,BAUMGARTNER 1-23 #1,3.122364924487357,3.7853253523821886
85,312.4,80.52,44.97,2.16,31.41,3.24,22.24,247.19,114.48,Unknown,BAUMGARTNER 1-23 #1,3.1018924693823817,3.805995600782616
86,312.9,87.12,44.77,2.01,31.33,3.16,22.34,246.81,115.51,Unknown,BAUMGARTNER 1-23 #1,3.1063787936410545,3.8015382722528743
87,313.4,95.59,43.49,1.91,32.87,3.02,23.0,246.21,117.22,Unknown,BAUMGARTNER 1-23 #1,3.1354942159291497,3.772531026609547
88,313.9,97.61,41.5,1.93,32.01,2.88,24.11,245.71,121.69,Unknown,BAUMGARTNER 1-23 #1,3.1826266921930797,3.7256934272366524
89,314.4,89.35,39.41,2.07,26.76,2.91,25.39,246.32,125.67,Unknown,BAUMGARTNER 1-23 #1,3.234355395716587,3.6740195912069122
90,314.9,75.66,37.79,2.25,21.85,3.14,26.47,247.24,122.72,Unknown,BAUMGARTNER 1-23 #1,3.27601201623901,3.6320445173613978
91,315.4,63.65,36.43,2.44,17.12,3.66,27.46,247.51,113.07,Unknown,BAUMGARTNER 1-23 #1,3.312730400339825,3.5953926110204724
92,315.9,53.24,35.04,2.56,13.49,4.34,28.54,247.16,100.1,Unknown,BAUMGARTNER 1-23 #1,3.3513066120486905,3.5564902660681907
93,316.4,48.18,33.56,2.61,10.79,4.68,29.8,246.18,85.63,Unknown,BAUMGARTNER 1-23 #1,3.3945083935113587,3.5133348815990053
94,316.9,47.86,31.96,2.61,8.99,4.81,31.3,244.97,77.34,Unknown,BAUMGARTNER 1-23 #1,3.4436180975461075,3.464485120898074
95,317.4,50.26,30.41,2.6,9.11,4.91,32.9,243.97,74.6,Unknown,BAUMGARTNER 1-23 #1,3.493472657771326,3.4147715016892732
96,317.9,56.12,29.41,2.58,11.9,4.96,34.01,243.33,72.46,Unknown,BAUMGARTNER 1-23 #1,3.526654599019104,3.3813347525659037
97,318.4,57.5,29.19,2.58,14.8,4.88,34.26,243.08,72.48,Unknown,BAUMGARTNER 1-23 #1,3.5339784928959737,3.3738261848660236
98,318.9,50.54,29.95,2.61,14.52,4.68,33.4,242.6,74.59,Unknown,BAUMGARTNER 1-23 #1,3.5085558999826545,3.3995293245614584
99,319.4,42.95,31.22,2.62,12.94,4.64,32.04,241.45,76.6,Unknown,BAUMGARTNER 1-23 #1,3.4669851222001586,3.441058915087286
100,319.9,42.17,32.63,2.61,12.47,4.92,30.66,240.38,77.06,Unknown,BAUMGARTNER 1-23 #1,3.422958873443668,3.4852321106052293
101,320.4,50.54,34.66,2.59,12.92,5.19,28.87,239.92,75.48,Unknown,BAUMGARTNER 1-23 #1,3.3628029936748436,3.54558628428746
102,320.9,60.67,37.74,2.58,13.88,5.06,26.53,240.15,74.64,Unknown,BAUMGARTNER 1-23 #1,3.2782761681496484,3.630720539940404
103,321.4,66.0,42.55,2.55,16.06,4.87,23.56,241.02,74.31,Unknown,BAUMGARTNER 1-23 #1,3.159550358783386,3.750679855019383
104,321.9,77.43,49.68,2.45,20.45,4.76,20.21,241.67,74.51,Unknown,BAUMGARTNER 1-23 #1,3.00617753141553,3.905602437625223
105,322.4,101.01,58.99,2.26,27.8,4.4,17.04,241.53,77.98,Unknown,BAUMGARTNER 1-23 #1,2.8355635214011694,4.077367938014984
106,322.9,115.13,69.48,2.05,35.43,3.93,14.45,241.09,87.39,Unknown,BAUMGARTNER 1-23 #1,2.670694414558441,4.241038941372905
107,323.4,107.93,80.66,1.91,38.52,3.44,12.44,240.77,100.46,Unknown,BAUMGARTNER 1-23 #1,2.5209170873110334,4.390242789445222
